iter	MultiClass
226	0.2857327936
227	0.2852541772
228	0.2830898464
229	0.2826722489
230	0.2805021834
231	0.2787218319
232	0.2785796568
233	0.2781526098
234	0.2776032264
235	0.276519005
236	0.2763290724
237	0.2751197176
238	0.2749871083
239	0.2746593648
240	0.2743328898
241	0.2736887851
242	0.2719351394
243	0.2714096698
244	0.2710383445
245	0.2692658441
246	0.268898372
247	0.2683118876
248	0.2674760647
249	0.2662839311
250	0.264858889
251	0.2640288336
252	0.2637780772
253	0.2615157589
254	0.2613304065
255	0.2610374373
256	0.2608876627
257	0.2595224604
258	0.2593293489
259	0.256340961
260	0.2549771483
261	0.2525389145
262	0.2522021454
263	0.2518450892
264	0.2512134286
265	0.2495040424
266	0.2490840361
267	0.2483067072
268	0.2477729972
269	0.2476045798
270	0.24730907
271	0.2466638352
272	0.2456376639
273	0.2437350013
274	0.2432713188
275	0.2428895671
276	0.2404105537
277	0.2400159913
278	0.2397581201
279	0.2392822742
280	0.2390629454
281	0.238767175
282	0.2381148958
283	0.2362754826
284	0.2359034822
285	0.2356653338
286	0.233857208
287	0.2336798641
288	0.2333609821
289	0.2326841889
290	0.2323754279
291	0.2312368438
292	0.2310686007
293	0.2304805891
294	0.2298736597
295	0.2294227047
296	0.2289686251
297	0.2283720715
298	0.2281462218
299	0.2277730938
300	0.2264962846
301	0.2252806653
302	0.22483596
303	0.2246351302
304	0.2243481309
305	0.2242068204
306	0.2220649069
307	0.2218819545
308	0.2198386546
309	0.2196805592
310	0.218838136
311	0.2177215117
312	0.2170480561
313	0.2160147929
314	0.2157433974
315	0.2141099576
316	0.2139286833
317	0.213618681
318	0.2115409201
319	0.2111862676
320	0.2096408402
321	0.2080608238
322	0.2077389774
323	0.2074059598
324	0.2068379267
325	0.2065416939
326	0.2063665172
327	0.2042479292
328	0.2039344452
329	0.203513422
330	0.2029583957
331	0.2024885669
332	0.2023011469
333	0.2020264106
334	0.2018282824
335	0.201476445
336	0.2007768825
337	0.200434603
338	0.2003042526
339	0.1989982417
340	0.1978310732
341	0.1974833442
342	0.1973405896
343	0.1969435341
344	0.1963903592
345	0.1962311965
346	0.1958343849
347	0.1956766742
348	0.1953730715
349	0.1948788165
350	0.1938566437
351	0.193604295
352	0.1931056581
353	0.1927883989
354	0.1918166609
355	0.1911491081
356	0.1908787052
357	0.1903790073
358	0.1900322907
359	0.1897882265
360	0.1895991757
361	0.189005306
362	0.1887974497
363	0.1882222369
364	0.1878157542
365	0.1876396262
366	0.1871144749
367	0.1863387295
368	0.1861664333
369	0.1851221368
370	0.18468455
371	0.1845589746
372	0.1843498936
373	0.1842540722
374	0.1833150499
375	0.1832092702
376	0.1824610087
377	0.1822809937
378	0.181975458
379	0.1816809105
380	0.181495848
381	0.1810067436
382	0.1808168823
383	0.1800230814
384	0.1796958507
385	0.179493449
386	0.1783853601
387	0.1781700292
388	0.1780595665
389	0.17793897
390	0.1773078574
391	0.1770646782
392	0.176690405
393	0.1759644973
394	0.1757906169
395	0.1756561843
396	0.1753100096
397	0.175184887
398	0.1748831042
399	0.1747391637
400	0.1745224119
401	0.1743475589
402	0.1742632825
403	0.1741307984
404	0.1739364705
405	0.1732176902
406	0.1730978413
407	0.1728943407
408	0.1727601242
409	0.172450636
410	0.1720749636
411	0.17183574
412	0.1716685578
413	0.1715416976
414	0.1707983408
415	0.1705769234
416	0.1703072385
417	0.1694654834
418	0.1693483081
419	0.1691712523
420	0.1690515256
421	0.1688602555
422	0.168554326
423	0.1684050131
424	0.16745415
425	0.1671230097
426	0.1668634833
427	0.1666829519
428	0.1665043891
429	0.1662019718
430	0.1660890466
431	0.1657108629
432	0.165257184
433	0.1643503477
434	0.1641765783
435	0.1638910673
436	0.1636343957
437	0.1631464605
438	0.1624125587
439	0.1621804302
440	0.1618798069
441	0.1612177614
442	0.1611211857
443	0.1609450058
444	0.1608931917
445	0.1605230162
446	0.1603760812
447	0.1601869094
448	0.1594053923
449	0.1581595792
450	0.1580124042
451	0.1579180913
452	0.157857761
453	0.1576881991
454	0.1574749613
455	0.1572863098
456	0.1571780332
457	0.1565055207
458	0.1560852701
459	0.1558485562
460	0.1556960631
461	0.1555992644
462	0.1554730198
463	0.1553101239
464	0.154635734
465	0.1543735941
466	0.1541734164
467	0.1540416541
468	0.1539074721
469	0.153195914
470	0.1530536701
471	0.1527846682
472	0.1523212884
473	0.1521039947
474	0.1511451618
475	0.1507324049
476	0.1502899212
477	0.1501466052
478	0.1498639124
479	0.1497216929
480	0.1495670924
481	0.1494870756
482	0.1493610537
483	0.1492375579
484	0.1489222074
485	0.1487921803
486	0.1475205344
487	0.1472106382
488	0.1469954193
489	0.1461348342
490	0.145970518
491	0.1458788217
492	0.1457951236
493	0.1456485708
494	0.1455530666
495	0.1453875743
496	0.1452353819
497	0.1450463604
498	0.1449580207
499	0.144374342
500	0.1442890478
501	0.1441333806
502	0.144065622
503	0.1439931136
504	0.1438348176
505	0.143760024
506	0.1436554935
507	0.1434711239
508	0.1431647902
509	0.1430627962
510	0.1427045498
511	0.142483907
512	0.1420330665
513	0.1419661989
514	0.1418159855
515	0.1417071534
516	0.141515413
517	0.1413543127
518	0.1411969461
519	0.1410522079
520	0.1409847037
521	0.1408790996
522	0.1406828311
523	0.1401795728
524	0.1400621586
525	0.1399462719
526	0.1398235636
527	0.1396542401
528	0.1391380869
529	0.1389940953
530	0.138922263
531	0.138451879
532	0.1382033306
533	0.138060389
534	0.1379938537
535	0.1376343998
536	0.1373409743
537	0.136982214
538	0.1368152156
539	0.1357825358
540	0.1356720426
541	0.1354433625
542	0.135368136
543	0.1351964861
544	0.1350150141
545	0.1346989372
546	0.1345279868
547	0.1343300681
548	0.1342128089
549	0.134133168
550	0.134024235
551	0.1339206502
552	0.1336067825
553	0.1334696412
554	0.133237181
555	0.1331245383
556	0.1329212065
557	0.1328563832
558	0.132730538
559	0.1323096421
560	0.1317461766
561	0.1316268032
562	0.1312369485
563	0.1311651353
564	0.1310898759
565	0.1306146865
566	0.1303852203
567	0.1302461085
568	0.1300703333
569	0.1299716314
570	0.1297578322
571	0.1295741699
572	0.1294978043
573	0.1293253434
574	0.1292614084
575	0.1287995618
576	0.1287398498
577	0.1285746801
578	0.1282205482
579	0.1281003304
580	0.1278876221
581	0.1278171462
582	0.1277562701
583	0.1272488359
584	0.1269512496
585	0.126880818
586	0.1267879418
587	0.1266109933
588	0.1264713493
589	0.1263735174
590	0.1262016127
591	0.1258874738
592	0.1256271542
593	0.1254946428
594	0.1253427591
595	0.1251218769
596	0.1249447561
597	0.1248834602
598	0.1248087331
599	0.1246805813
600	0.1243124412
601	0.1241239307
602	0.1240702503
603	0.1239392995
604	0.1237583048
605	0.1232388784
606	0.1231170425
607	0.1230472217
608	0.1229194936
