iter	Passed	Remaining
406	6777	3363
407	6794	3347
408	6813	3331
409	6830	3315
410	6849	3299
411	6865	3282
412	6882	3266
413	6898	3249
414	6915	3232
415	6930	3215
416	6948	3199
417	6966	3183
418	6987	3168
419	7004	3151
420	7023	3136
421	7040	3119
422	7057	3103
423	7073	3086
424	7089	3069
425	7104	3051
426	7120	3034
427	7135	3017
428	7151	3000
429	7168	2984
430	7186	2968
431	7203	2951
432	7221	2935
433	7239	2919
434	7258	2903
435	7274	2886
436	7290	2869
437	7305	2852
438	7321	2835
439	7336	2817
440	7353	2801
441	7369	2784
442	7387	2768
443	7404	2751
444	7423	2735
445	7440	2719
446	7458	2703
447	7473	2685
448	7490	2669
449	7505	2651
450	7521	2634
451	7536	2617
452	7552	2601
453	7569	2584
454	7588	2568
455	7604	2551
456	7623	2535
457	7640	2519
458	7658	2502
459	7675	2486
460	7692	2469
461	7706	2452
462	7722	2435
463	7737	2418
464	7754	2401
465	7771	2384
466	7789	2368
467	7805	2351
468	7824	2335
469	7842	2319
470	7861	2303
471	7877	2286
472	7894	2269
473	7909	2252
474	7926	2235
475	7941	2218
476	7958	2202
477	7975	2185
478	7994	2169
479	8011	2153
480	8030	2137
481	8046	2120
482	8065	2103
483	8080	2086
484	8096	2070
485	8122	2055
486	8138	2038
487	8153	2021
488	8171	2005
489	8188	1988
490	8207	1972
491	8224	1955
492	8242	1939
493	8260	1923
494	8279	1906
495	8297	1890
496	8316	1874
497	8332	1857
498	8350	1840
499	8366	1823
500	8386	1807
501	8407	1792
502	8426	1775
503	8443	1759
504	8462	1742
505	8479	1726
506	8496	1709
507	8512	1692
508	8528	1675
509	8542	1658
510	8559	1641
511	8573	1624
512	8589	1607
513	8606	1590
514	8625	1574
515	8641	1557
516	8661	1541
517	8677	1524
518	8695	1507
519	8709	1490
520	8725	1473
521	8739	1456
522	8756	1439
523	8770	1422
524	8787	1405
525	8803	1389
526	8822	1372
527	8839	1356
528	8857	1339
529	8874	1322
530	8893	1306
531	8910	1289
532	8927	1272
533	8942	1256
534	8960	1239
535	8975	1222
536	8992	1205
537	9008	1188
538	9027	1172
539	9043	1155
540	9062	1139
541	9078	1122
542	9096	1105
543	9111	1088
544	9128	1071
545	9142	1054
546	9158	1038
547	9172	1021
548	9188	1004
549	9203	987
550	9222	970
551	9239	954
552	9258	937
553	9275	920
554	9294	904
555	9310	887
556	9326	870
557	9341	853
558	9357	837
559	9373	820
560	9389	803
561	9404	786
562	9422	769
563	9439	753
564	9457	736
565	9475	719
566	9493	703
567	9510	686
568	9527	669
569	9543	652
570	9559	636
571	9574	619
572	9590	602
573	9608	585
574	9627	569
575	9644	552
576	9663	535
577	9680	519
578	9699	502
579	9716	485
580	9732	469
581	9748	452
582	9764	435
583	9779	418
584	9795	401
585	9810	385
586	9828	368
587	9845	351
588	9863	334
589	9882	318
590	9901	301
591	9918	284
592	9934	268
593	9948	251
594	9965	234
595	9980	217
596	9996	200
597	10010	184
598	10028	167
599	10045	150
600	10064	133
601	10082	117
602	10103	100
603	10120	83
604	10138	67
605	10153	50
606	10169	33
607	10184	16
608	10200	0
