Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (million GBP)
11/02/2005,UKRPRODUCT GROUP LIMITED,Consumer Staples ,"Food, Beverage and Tobacco ",Jersey,Europe,AIM ,No,0.99
01/03/2017,ULTIMATE PRODUCTS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,88.45
05/11/2001,UNICORN AIM VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,150.04
27/10/2022,UNICORN MINERAL RESOURCES PLC,Basic Materials,Basic Resources,Ireland,Europe,MAIN MARKET ,Yes,2.35
11/08/1939,UNILEVER PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,MAIN MARKET ,No,"114,670.82"
30/07/2013,UNION JACK OIL PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,11.72
17/07/2019,UNIPHAR PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",Ireland,Europe,AIM ,Yes,539.21
29/06/2007,UNITED BANK LIMITED,Financials,Banks,Pakistan,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
10/11/2015,UNITED OIL & GAS PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,1.87
28/07/2008,UNITED UTILITIES GROUP PLC,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET ,No,"6,975.72"
11/04/2000,UNITE GROUP PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"4,188.95"
26/10/2015,UPLAND RESOURCES LIMITED,Energy,Energy,Jersey,Europe,MAIN MARKET ,No,14.38
23/12/2021,UPL LIMITED,Basic Materials,Chemicals,India,Asia,ADMISSION TO TRADING ONLY ,Yes,-
13/04/2016,URBAN LOGISTICS REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,509.74
12/09/2007,URU METALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,2.8
16/04/2019,US SOLAR FUND PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,201.4
03/04/2018,UTILICO EMERGING MARKETS TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,397.74
26/09/2019,"VAALCO ENERGY, INC.",Energy,Energy,United States,North America,MAIN MARKET ,Yes,373.48
03/10/2006,VALIRX PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,2.81
14/07/1981,VALUE AND INDEXED PROPERTY INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,78.59
26/10/2016,VAN ELLE HOLDINGS PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,40.9
16/03/1962,VANQUIS BANKING GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,134.14
25/09/2020,VARIOUS EATERIES PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,27.13
